kinase,SK6.AT13148,JAK2.AZD1480,AKT.AZD5363,CDK.AZD5438,PI3k.AZD6482,mTOR.AZD8055,CK2.CX4945,BRAF.Dabrafenib,TKI.Dasatinib,ERK.GDC0994,AKT.GSK690693,cMET.JNJ38877605,CDK.LEE011,SK6.LY2584702,CDK.LY2835219,AKT.MK2206,TKI.MP470,PAK.PF3758309,P38.PH797804,ROCK.Ripasudil,JAK2.Tofacitinib,MEK.Trametinib,ERK.Ulixertinib,BRAF.Vemurafenib,AKT.AZD5363,AKT.GDC0068,CDK12.AZD5438,CDK46.LY2835219,CK2.CX4945,EGFR.AZD3759,ERK.GDC0994,GSK3.LY2090314,JAK2.AZD1480,JNK.JNKIN8,MEK.Trametinib,mTOR.AZD8055,p70S6K.LY2584702,PAK.PF3758309,PDK1.GSK2334470,PI3K.GDC0941,PI3K.HS173,PKC.GF109203X,PKC.Go6976,PKC.Go6983,TKI.MP470,p110?.AZD6482,p110?.CAL101,p110?/?.GDC0941,p110?.HS173,p110?.PIK294,p110?.TGX221,CDK129.AZD5438,PAK.FRAX486,mTORC12.Ku0063794,mTORC12.Torin1,PDK1.BX912,GSK3AB.CHIR99021,GSK3AB.LY2090314,MEK1.AZD6244,ROCK2.KD025,ROCK12.Ripasudil
CDK1,1,1,1,1,1,1,0.04790719,0.00570416,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
CDK2,1,1,1,0.011323572,1,1,0.026525413,0.000288316,1,1,1,1,1,1,0.16484428,1,1,1,1,1,1,1,1,1,0.979274611,1,0.338345865,0.94,0.8,1,0.98998999,0.93,0.99,0.96,0.93,0.98,1,1,0.979253112,0.97,1,1,0.9,0.95991984,0.97,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
CDK6,1,1,1,1,1,1,1,0.004987033,1,1,1,1,0.007789631,1,0.000904857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDK9,1,1,1,0.005014042,1,1,1,1,1,1,1,1,0.058271041,1,0.00272652,1,1,1,1,1,1,1,1,1,1,1,0.669172932,0.49,1,0.979889392,0.96996997,1,0.96,1,0.99,1,0.98,1,1,0.96,1,1,0.97,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
DMPK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.42,0.82,1,1,1,1,0.98,0.93,0.94,1,1,0.989626556,1,1,0.26,0.83,0.248496994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IRAK1,1,1,1,1,1,1,1,0.024568387,1,1,1,1,1,1,0.001963177,1,1,1,1,1,1,1,1,1,1,1,1,0.0055,0.53,0.648064354,0.57957958,1,1,1,1,1,0.87,1,1,1,1,1,0.98,1,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIT,1,1,1,1,1,1,1,1,0.000930197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.968911917,1,0.959899749,0.91,0.74,0.969834087,1,1,0.81,0.39,0.98,0.93,1,1,0.94813278,1,0.95,0.88,0.68,0.96993988,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LIMK1.2,1,1,0.005596607,1,1,1,1,0.000502148,0.017801984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.626943005,1,1,0.89,0.85,0.819004525,0.81981982,0.97,0.94,0.95,0.9,0.9,0.87,1,0.958506224,0.87,0.84,0.89,0.69,0.9498998,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAP2K4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.803108808,1,0.157894737,0.38,0.61,0.919557567,0.078078078,1,1,1,1,0.95,0,1,1,1,0.99,0.86,0.46,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAP3K19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.32642487,1,0.147869674,0.19,0.35,0.467068879,0.299299299,1,1,1,1,1,0.025,1,1,0.94,0.89,0.99,0,1,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAPK10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.075689223,0.24,0.84,0.678230266,0.54954955,1,1,0,1,0.09,0.9,1,1,0.81,1,1,0.95,0.819639279,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAPK14,1,1,1,1,1,1,1,1,0.014836987,1,1,1,1,1,1,1,1,1,6.20E-05,1,1,1,1,1,0.989637306,1,0.919799499,0.97,0.92,1,1,1,0.99,1,1,0.94,1,1,0.927385892,1,0.99,0.99,0.95,0.929859719,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAPK8,1,1,1,0.026325286,1,1,1,1,1,1,1,1,1,1,0.059026638,1,1,1,1,1,1,1,1,1,0.917098446,1,0.031578947,0.2,0.68,0.617898441,0.459459459,1,1,0,1,0.96,0.88,1,1,0.88,0.88,0.99,0.66,0.93987976,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAPKAPK2,1,1,1,1,1,1,0.083274751,1,0.008435666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,1,1,0.89,0.92,0.93,0.17,1,1,0.823651452,1,0.98,0.88,1,0.93987976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PDGFRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,0.567621921,0.64964965,1,1,1,1,0.12,0.93,1,1,0.85,0.9,0.096,0.91,1,0.54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PDPK1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.909774436,0.83,1,0.748617396,1,1,0.88,0.96,0.92,0.92,0.94,1,0.03526971,0.91,0.99,0.85,0.46,0.819639279,0.9,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
PIK3CB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,0.819004525,0.53953954,1,1,1,1,1,0.73,1,1,0,0.18,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
PLK1,1,1,1,1,1,1,0.010544925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,0.668174962,0.65965966,1,1,1,1,1,0.93,1,1,0.94,0.45,1,1,1,0.87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKCH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.906735751,0.62,1,0.78,1,1,1,1,0.82,1,0.97,0.96,1,1,0,0.95,1,0.078,0.9,0.059118236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RIOK3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.458646617,0.82,1,0.969834087,0.88988989,0.12,0.87,0.87,0.97,1,0.59,1,1,1,1,0.98,0.57,0.9498998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RIPK3,1,1,1,1,1,1,0.034205935,0.004430252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.032662345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLK,1,0.010762449,1,1,1,1,0.003448485,1,0.034401738,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.989637306,1,0.949874687,0.75,0.71,0.436902966,0.96996997,1,0.047,0.91,0.92,0.92,1,1,0.989626556,1,0.95,0.12,1,0.328657315,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRPK2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.045045045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
STK10,1,0.011425663,1,1,1,1,0.0014947,1,0.044448393,1,1,1,1,1,0.038816217,1,1,1,1,1,1,1,1,1,1,1,0.969924812,0.82,0.5,0.63800905,1,1,0.36,0.97,0.9,0.9,0.95,1,0.937759336,1,0.86,0.47,0.93,0.789579158,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAOK1,1,1,1,1,1,1,0.032684019,1,1,0.003597341,1,1,1,1,0.001673557,1,1,1,1,1,1,1,0.006084805,1,1,1,0.929824561,0.36,0.32,0.87933635,0.027027027,1,1,1,1,0.86,0.96,1,1,0.9,0.82,1,0.66,1,0.86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAOK3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.027037917,1,1,1,1,0.18546693,1,1,1,1,1,1,1,0.099,0.82,0.929612871,0.67967968,1,1,1,1,1,1,1,0.979253112,1,0.99,0.89,0.69,0.909819639,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
