kinase,SK6.AT13148,JAK2.AZD1480,AKT.AZD5363,CDK.AZD5438,PI3k.AZD6482,mTOR.AZD8055,CK2.CX4945,BRAF.Dabrafenib,TKI.Dasatinib,ERK.GDC0994,AKT.GSK690693,cMET.JNJ38877605,CDK.LEE011,SK6.LY2584702,CDK.LY2835219,AKT.MK2206,TKI.MP470,PAK.PF3758309,P38.PH797804,ROCK.Ripasudil,JAK2.Tofacitinib,MEK.Trametinib,ERK.Ulixertinib,BRAF.Vemurafenib,AKT.AZD5363,AKT.GDC0068,CDK12.AZD5438,CDK46.LY2835219,CK2.CX4945,EGFR.AZD3759,ERK.GDC0994,GSK3.LY2090314,JAK2.AZD1480,JNK.JNKIN8,MEK.Trametinib,mTOR.AZD8055,p70S6K.LY2584702,PAK.PF3758309,PDK1.GSK2334470,PI3K.GDC0941,PI3K.HS173,PKC.GF109203X,PKC.Go6976,PKC.Go6983,TKI.MP470,p110?.AZD6482,p110?.CAL101,p110?/?.GDC0941,p110?.HS173,p110?.PIK294,p110?.TGX221,CDK129.AZD5438,PAK.FRAX486,mTORC12.Ku0063794,mTORC12.Torin1,PDK1.BX912,GSK3AB.CHIR99021,GSK3AB.LY2090314,MEK1.AZD6244,ROCK2.KD025,ROCK12.Ripasudil
PLK4,1,0.004826052,1,1,1,1,1,0.00815551,1,1,1,1,1,1,1,1,1,0.010484501,1,0.127961406,1,1,1,1,0.85492228,1,0.709273183,0.61,0.74,0.979889392,1,0.98,0.14,0.98,0.9,0.94,1,0.6,0.823651452,1,1,0.79,0.77,0.839679359,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKG1,1,1,0.004645788,1,1,1,1,1,1,1,0.001367106,1,1,1,1,1,1,0.012682343,1,1,1,1,1,1,0.388601036,0.03,1,1,0.89,1,0.94994995,1,1,1,1,1,1,0.34,0.989626556,0.97,1,0.85,1,0.809619238,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKCA.B,1,1,0.027230504,1,1,1,1,1,1,1,0.008884922,1,1,1,0.00832084,1,1,0.013715479,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKACA,0.000213482,1,0.006061846,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.014687873,1,1,1,1,1,1,0.059067358,1,0.989974937,0.96,0.95,0.869281046,1,1,0.88,0.93,0.89,0.73,0.78,0.45,0.885892116,0.8,0.96,0.87,0.83,0.729458918,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABL2,1,1,1,1,1,1,1,0.004773448,4.16E-05,1,1,1,1,1,1,1,1,0.014747326,1,1,1,1,1,1,0.844559585,1,0.939849624,0.95,0.89,0.778783308,0.86986987,0.87,0.58,0.96,0.95,0.88,0.94,0.81,0.958506224,0.87,0.9,0.9,0.84,0.889779559,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKCD,0.000674466,1,0.044143335,1,1,1,1,1,1,1,0.001135275,1,1,1,0.012477296,1,1,0.015299835,1,0.038810956,1,1,1,1,0.481865285,0.71,0.799498747,0.53,0.91,1,0.91991992,0.97,0.68,0.99,0.92,0.9,0.041,0.49,0.875518672,1,1,0.0015,0.55,0,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PKN1,0.000370425,1,0.024772936,1,1,1,0.320889757,1,0.00562779,1,0.00060307,1,1,1,1,1,1,0.018326447,1,0.00652979,0.000889953,1,1,1,0.886010363,1,0.929824561,0.77,0.7,0.849170437,0.92992993,0.81,0.54,0.89,0.98,0.99,0.95,0.41,0.761410788,0.82,0.93,0.61,0.71,0.759519038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TEC,1,1,1,1,1,1,1,1,0.000656143,1,1,1,1,1,1,1,1,0.019296947,1,1,1,1,1,1,0.865284974,1,0.869674185,0.85,0.83,0.949723479,0.85985986,0.84,0.49,0.88,0.78,0.76,0.9,0.78,0.782157676,0.91,0.81,0.81,0.73,0.829659319,0.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FYN,1,1,1,1,1,1,1,0.012834417,4.34E-05,1,1,1,1,1,1,1,1,0.019369673,1,1,1,1,1,1,1,1,0.979949875,0.99,1,1,1,1,0.54,0.99,0.93,0.95,1,0.26,0.989626556,1,0.94,0.94,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SIK2,1,1,1,1,1,1,1,0.010181933,0.000374546,1,1,1,0.039162318,1,1,1,1,0.019905971,1,1,1,1,1,1,1,1,0.949874687,1,1,1,1,1,0.86,0.97,1,0.9,1,0.81,1,1,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FLT3,1,0.026470283,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.022663397,1,1,1,1,1,1,1,1,0.929824561,0.98,1,0.899446958,0.97997998,1,0.23,0.87,0.9,0.87,0.95,0.85,0.813278008,0.97,0.88,0.074,0.34,0.719438878,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAP3K11,1,1,0.031413181,1,1,1,0.04660054,0.015876517,1,1,1,1,1,1,1,1,1,0.024514002,1,1,1,1,1,1,0.917098446,1,0.609022556,0.86,1,0.899446958,0.8998999,1,0.82,0.92,0.9,0.98,1,1,0.958506224,0.98,0.86,0.87,0.97,0.93987976,0.79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDKL5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.030324748,1,1,1,1,1,1,0.979274611,1,0.819548872,0.0055,0.64,0.627953746,0.7997998,1,1,1,1,0.95,0.95,0.97,0.94813278,0.94,0.99,0.99,0.79,0.93987976,0.77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GAK,1,1,1,1,1,1,0.081021952,1,0.002497187,0.426217842,1,1,0.01032898,1,0.034471106,1,1,0.030694998,1,1,1,1,1,1,1,1,0.889724311,0.56,0.58,0.808949221,0.54954955,0.95,0.75,0.94,0.99,0.84,0.95,0.85,0.89626556,0.93,0.68,0.97,0.82,0.909819639,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAPK1.3,1,1,1,1,1,1,1,1,1,0.000329087,1,1,1,1,1,1,1,0.030874209,1,1,1,1,0.002864206,1,1,1,1,0.82,0.73,1,0.002502503,1,0.89,1,0.98,0.94,1,0.94,0.875518672,1,0.99,0.82,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AURKB,1,0.024489861,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.03262645,1,0.018092464,0.008231664,1,1,1,0.647668394,1,0.65914787,0.61,0.5,0.658119658,0.67967968,0.98,0.51,1,1,0.97,1,0.63,0.730290456,0.99,1,0.59,0.52,0.659318637,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSK3A.B,1,1,1,0.000856532,1,1,0.271955654,1,1,0.034352122,0.004306891,1,1,1,0.000194195,1,1,0.032810132,1,1,1,1,1,1,0.989637306,1,0.047619048,0.014,0.96,0.969834087,1,0,0.99,1,0.99,0.98,1,1,1,1,1,0.32,1,0.358717435,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
STK3,1,0.013507027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.034619424,1,1,1,1,1,1,0.989637306,1,1,0.9,0.85,1,1,1,0.18,0.99,0.93,0.96,1,0.34,1,1,1,0.77,0.28,1,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BMP2K,1,1,1,0.012973093,1,1,1,1,1,0.046904457,1,1,1,1,0.88080622,1,1,0.039896595,1,1,1,1,1,1,0.844559585,1,0.258145363,0.55,0.93,1,0.53953954,0.06,0.77,0.93,0.99,1,0.75,0.65,0.89626556,1,1,0.66,0.27,0.879759519,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAMKK2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.040831444,1,1,0.044974364,1,1,1,1,1,1,0.896373057,1,0.739348371,0.2,0.74,0.969834087,0.88988989,0.92,0.67,0.77,0.87,0.83,0.91,0.7,0.699170124,0.94,0.62,0.77,0.77,0.789579158,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AAK1,1,1,1,0.00356929,1,1,1,1,1,0.006290985,1,1,1,1,0.00158503,1,1,0.047789373,1,1,1,1,1,1,0.78238342,1,0.458646617,0.13,0.86,0.889391654,0.65965966,0.33,0.67,0.76,0.87,0.85,0.84,0.65,0.657676349,0.99,0.65,0.64,0.47,0.849699399,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDK16,1,1,1,1,1,1,0.019050098,0.000194494,1,1,1,1,1,1,0.000773834,1,1,0.05323015,1,1,1,1,1,1,0.92746114,1,0.268170426,0.027,0.64,0.648064354,0.68968969,0.41,1,1,1,0.95,0.89,0.79,0.94813278,0.88,0.91,0.75,0.8,0.659318637,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
